,code,areaName,houseType,households,HouseholdSize,Households
183,E12000007,London,caravan,4406,h3,1007485
184,E12000007,London,caravan,4406,h4,587620
185,E12000007,London,caravan,4406,h5,483036
186,E12000007,London,caravan,4406,h6,201049
187,E12000007,London,caravan,4406,h7,80001
188,E12000007,London,caravan,4406,h8plus,30145
189,E12000007,London,commercial,47836,h0,0
190,E12000007,London,commercial,47836,h1,1001983
191,E12000007,London,commercial,47836,h2,1001983
192,E12000007,London,commercial,47836,h3,1007485
193,E12000007,London,commercial,47836,h4,587620
194,E12000007,London,commercial,47836,h5,483036
195,E12000007,London,commercial,47836,h6,201049
196,E12000007,London,commercial,47836,h7,80001
197,E12000007,London,commercial,47836,h8plus,30145
198,E12000007,London,sharedHouse,378564,h0,0
199,E12000007,London,sharedHouse,378564,h1,1001983
200,E12000007,London,sharedHouse,378564,h2,1001983
201,E12000007,London,sharedHouse,378564,h3,1007485
202,E12000007,London,sharedHouse,378564,h4,587620
203,E12000007,London,sharedHouse,378564,h5,483036
204,E12000007,London,sharedHouse,378564,h6,201049
205,E12000007,London,sharedHouse,378564,h7,80001
206,E12000007,London,sharedHouse,378564,h8plus,30145
207,E12000007,London,conversion,41112,h0,0
208,E12000007,London,conversion,41112,h1,1001983
209,E12000007,London,conversion,41112,h2,1001983
210,E12000007,London,conversion,41112,h3,1007485
211,E12000007,London,conversion,41112,h4,587620
212,E12000007,London,conversion,41112,h5,483036
213,E12000007,London,conversion,41112,h6,201049
214,E12000007,London,conversion,41112,h7,80001
215,E12000007,London,conversion,41112,h8plus,30145
216,E12000001,North East,sharedHouse,24511,h0,0
217,E12000001,North East,sharedHouse,24511,h1,395924
218,E12000001,North East,sharedHouse,24511,h2,395924
219,E12000001,North East,sharedHouse,24511,h3,410822
220,E12000001,North East,sharedHouse,24511,h4,183528
221,E12000001,North East,sharedHouse,24511,h5,128338
222,E12000001,North East,sharedHouse,24511,h6,39167
223,E12000001,North East,sharedHouse,24511,h7,12028
224,E12000001,North East,sharedHouse,24511,h8plus,2186
225,E12000001,North East,flats,133229,h0,0
226,E12000001,North East,flats,133229,h1,395924
227,E12000001,North East,flats,133229,h2,395924
228,E12000001,North East,flats,133229,h3,410822
229,E12000001,North East,flats,133229,h4,183528
230,E12000001,North East,flats,133229,h5,128338
231,E12000001,North East,flats,133229,h6,39167
232,E12000001,North East,flats,133229,h7,12028
